rule type,value
domain,alt1-mtalk.google.com
domain,alt2-mtalk.google.com
domain,alt3-mtalk.google.com
domain,alt4-mtalk.google.com
domain,alt5-mtalk.google.com
domain,alt6-mtalk.google.com
domain,alt7-mtalk.google.com
domain,alt8-mtalk.google.com
domain,mtalk-dev.google.com
domain,mtalk-staging.google.com
domain,mtalk.google.com
domain,mtalk4.google.com
