rule type,value
domain_suffix,bizographics.com
domain_suffix,l-0005.dc-msedge.net
domain_suffix,l-0005.l-msedge.net
domain_suffix,licdn.com
domain_suffix,linkedin.at
domain_suffix,linkedin.com
domain_suffix,lnkd.in
domain_suffix,e122475.dscg.akamaiedge.net
domain_suffix,licdn.cn.cdn20.com
domain_suffix,linkedin.sc.omtrdc.net
